index,label_int,t_start,t_stop,label
0,0,2017-06-13 10:33:40+02:00,2017-06-13 11:03:00.792771555+02:00,unknown
199705,1,2017-06-13 11:03:00.792771555+02:00,2017-06-13 11:22:18.793852726+02:00,baseline
1010306,0,2017-06-13 11:22:18.793852726+02:00,2017-06-13 11:23:03.793839226+02:00,unknown
1041806,5,2017-06-13 11:23:03.793839226+02:00,2017-06-13 11:23:54.792395355+02:00,unknown
1077505,0,2017-06-13 11:23:54.792395355+02:00,2017-06-13 11:28:47.793736026+02:00,unknown
1282606,3,2017-06-13 11:28:47.793736026+02:00,2017-06-13 11:34:59.793624426+02:00,amusement
1543006,0,2017-06-13 11:34:59.793624426+02:00,2017-06-13 11:39:03.792122655+02:00,unknown
1713805,7,2017-06-13 11:39:03.792122655+02:00,2017-06-13 11:39:55.793535626+02:00,unknown
1750206,0,2017-06-13 11:39:55.793535626+02:00,2017-06-13 11:43:00.793480126+02:00,unknown
1879706,4,2017-06-13 11:43:00.793480126+02:00,2017-06-13 11:49:48.793357726+02:00,meditation
2165306,0,2017-06-13 11:49:48.793357726+02:00,2017-06-13 11:58:28.793201726+02:00,unknown
2529306,2,2017-06-13 11:58:28.793201726+02:00,2017-06-13 12:09:03.793011226+02:00,stress
2973806,0,2017-06-13 12:09:03.793011226+02:00,2017-06-13 12:13:08.792937726+02:00,unknown
3145306,6,2017-06-13 12:13:08.792937726+02:00,2017-06-13 12:13:52.792924526+02:00,unknown
3176106,0,2017-06-13 12:13:52.792924526+02:00,2017-06-13 12:32:51.792582826+02:00,unknown
3973406,4,2017-06-13 12:32:51.792582826+02:00,2017-06-13 12:39:28.792463726+02:00,meditation
4251306,0,2017-06-13 12:39:28.792463726+02:00,2017-06-13 12:46:59.250000+02:00,unknown
